"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04920","hsa04920","Adipocytokine signaling pathway","22/2744","69/8586",0.550791652278895,0.857879409103717,0.645787716988898,"7133/10000/3667/5443/10891/4790/2180/23305/948/51422/8471/2182/3717/7186/1374/5970/5588/32/8660/207/4792/8717",22
"hsa04621","hsa04621","NOD-like receptor signaling pathway","59/2744","186/8586",0.556059254511704,0.857879409103717,0.645787716988898,"140609/3725/2635/2633/2634/10628/3428/9447/3716/10010/84168/846/118429/2921/3576/4790/84674/55914/3326/222545/7128/1508/79792/7186/64170/7099/330/3606/5331/171389/837/79671/329/7189/5970/23710/643246/5027/4940/51135/6773/4792/7187/5330/29108/260434/11345/64127/81631/51393/6347/22861/56919/5332/84557/91662/7297/5600/3454",59
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","33/2744","104/8586",0.55712359607808,0.857879409103717,0.645787716988898,"1263/9261/3725/5743/10000/8503/22808/5290/5530/4790/3659/5295/1960/5533/6850/64170/23365/5058/5970/1959/4791/338339/4193/6773/207/4792/29108/9020/10892/4773/602/6237/5600",33
"hsa00620","hsa00620","Pyruvate metabolism","15/2744","47/8586",0.557494334105976,0.857879409103717,0.645787716988898,"4190/98/130/501/134526/4199/38/3939/5091/3945/32/3029/197257/224/84532",15
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","67/2744","212/8586",0.57085353128439,0.874443818376543,0.658256942772909,"7133/2786/3725/10000/8503/55970/7852/5062/5290/5530/7097/4790/995/891/5295/3105/3134/115004/54205/2792/8905/5063/2185/5533/7186/7099/5058/572/2785/1111/7189/5970/355/983/920/5829/51135/2353/207/54331/1073/4792/9133/567/2775/8717/5579/2793/5608/5578/5881/4773/25939/2788/2767/8907/10053/684/5582/3985/9582/27350/200316/60489/5600/140564/5880",67
"hsa00600","hsa00600","Sphingolipid metabolism","17/2744","54/8586",0.581122257375875,0.886145704686289,0.667065796749636,"130367/2720/7368/166929/2717/427/7357/6609/8879/2581/8877/55304/8612/79603/56848/9514/410",17
"hsa04071","hsa04071","Sphingolipid signaling pathway","38/2744","121/8586",0.586557476737806,0.890404818291174,0.670271938804226,"10000/4985/8503/134/5581/130367/9475/5290/5337/165679/5522/166929/4790/5295/427/7186/1903/5526/5331/9846/6609/5970/8879/624/207/5330/8717/5579/5578/8877/5881/55304/5332/79603/56848/5582/5600/5880",38
"hsa00785","hsa00785","Lipoic acid metabolism","6/2744","19/8586",0.599622488659237,0.901647257242406,0.678734933610557,"51601/11019/2731/55526/55753/2653",6
"hsa00052","hsa00052","Galactose metabolism","10/2744","32/8586",0.600220440224308,0.901647257242406,0.678734933610557,"5236/7360/2720/2645/2717/2683/80201/5214/3098/2584",10
"hsa00590","hsa00590","Arachidonic acid metabolism","19/2744","61/8586",0.601990008544633,0.901647257242406,0.678734933610557,"5743/1573/5320/151056/9536/5742/11145/8644/1571/4048/10728/145482/242/246/284273/5740/1555/50487/873",19
"hsa00270","hsa00270","Cysteine and methionine metabolism","16/2744","52/8586",0.624447624370478,0.927717279364026,0.698359719902328,"1491/26227/4190/1036/262/51074/3939/4143/3945/113675/144811/1789/191/1786/875/102724560",16
"hsa05321","hsa05321","Inflammatory bowel disease","20/2744","65/8586",0.627563741148298,0.927717279364026,0.698359719902328,"7042/7100/3725/6097/6775/3552/7097/4790/3117/3119/3123/7099/3606/5970/2625/7043/4088/4094/64127/7040",20
"hsa04657","hsa04657","IL-17 signaling pathway","29/2744","94/8586",0.62963791641384,0.927717279364026,0.698359719902328,"3725/5743/55540/6372/6374/2921/3576/4790/27190/3326/7128/3934/7186/8061/4312/4322/7189/5970/2353/4792/7187/8717/27189/6426/6347/4318/3727/2354/5600",29
"hsa00350","hsa00350","Tyrosine metabolism","11/2744","36/8586",0.633160160990285,0.927717279364026,0.698359719902328,"7173/316/130/4129/4128/7299/7054/222/1638/8639/314",11
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","11/2744","36/8586",0.633160160990285,0.927717279364026,0.698359719902328,"2590/79623/11227/55568/51301/6482/79695/27090/57452/10610/10331",11
"hsa00515","hsa00515","Mannose type O-glycan biosynthesis","7/2744","23/8586",0.63900882428517,0.92821540424182,0.698734694431606,"9486/10690/729920/2683/27087/120071/2526",7
"hsa04614","hsa04614","Renin-angiotensin system","7/2744","23/8586",0.63900882428517,0.92821540424182,0.698734694431606,"2028/4012/57486/290/1636/3816/7064",7
"hsa00030","hsa00030","Pentose phosphate pathway","9/2744","30/8586",0.657563489406043,0.951068222874834,0.715937659574684,"5236/9563/7086/5634/9104/2203/6888/5214/230",9
"hsa00650","hsa00650","Butanoate metabolism","8/2744","27/8586",0.671994127541004,0.959628530930784,0.722381620972416,"64064/2571/1962/7915/54511/38/35/79944",8
"hsa05416","hsa05416","Viral myocarditis","18/2744","60/8586",0.674299547535611,0.959628530930784,0.722381620972416,"27/3105/3134/3117/3119/3908/3123/54205/857/1756/595/5551/6445/71/5881/958/3383/5880",18
"hsa00910","hsa00910","Nitrogen metabolism","5/2744","17/8586",0.676719231090481,0.959628530930784,0.722381620972416,"23632/768/771/766/762",5
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","14/2744","47/8586",0.677814288621885,0.959628530930784,0.722381620972416,"2590/23127/79623/11227/84620/727936/6480/55568/8985/79695/2683/283464/145173/57452",14
"hsa04146","hsa04146","Peroxisome","25/2744","83/8586",0.680088128565701,0.959628530930784,0.722381620972416,"5052/55825/3417/1962/51555/26061/8310/2180/23305/3295/54511/373156/215/2182/1384/25961/5264/11001/255027/283927/51268/4843/51/11264/92960",25
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","21/2744","70/8586",0.68056741511115,0.959628530930784,0.722381620972416,"3725/50848/998/3579/6868/2921/3576/4790/1839/50617/5803/4233/1956/537/5058/5970/4792/527/9114/9020/5600",21
"hsa04936","hsa04936","Alcoholic liver disease","43/2744","142/8586",0.696722077983194,0.978313917834735,0.736447459622587,"10000/83439/23175/6434/10891/8310/79966/130/51176/2921/3576/4790/501/2309/51422/7099/50507/1374/595/7189/5970/23411/1571/355/32/719/51135/207/4792/7187/8717/5608/224/9020/37/2194/51/9663/3929/64900/728/718/5600",43
"hsa00770","hsa00770","Pantothenate and CoA biosynthesis","6/2744","21/8586",0.707445410777844,0.984804378030547,0.741333297221184,"1806/5167/53354/51380/60490/224",6
"hsa04613","hsa04613","Neutrophil extracellular trap formation","58/2744","191/8586",0.708613580015081,0.984804378030547,0.741333297221184,"10000/8349/8503/4688/1378/5290/3015/7097/4790/5295/9555/8352/8344/8354/8336/8348/8334/8968/8353/8331/8363/8362/8357/8329/8340/8345/8355/8970/8969/8294/85236/9734/286436/292/10013/79792/6850/7099/5331/837/3014/5970/10105/6404/207/5330/5579/5578/71/3674/3690/5332/728/5582/718/83933/5600/5880",58
"hsa04922","hsa04922","Glucagon signaling pathway","32/2744","107/8586",0.710111168728258,0.984804378030547,0.741333297221184,"148327/10000/5567/10891/5530/817/108/815/9586/51422/2645/64764/5533/10488/2203/5837/90993/1374/5331/3939/23411/5214/3945/32/207/5330/5332/5834/3276/84699/150094/102724428",32
"hsa01240","hsa01240","Biosynthesis of cofactors","46/2744","153/8586",0.721561547612491,0.996582957153318,0.750199883410744,"64802/26289/23057/8564/80308/249/9249/51727/251/51601/493911/790/23498/8942/7360/7372/7364/7363/11019/27235/1719/51805/212/9104/195814/93100/3620/55312/158067/5805/55191/3145/4143/53354/8630/122481/145226/4522/60490/124454/4833/1723/4832/1728/224/554235",46
"hsa00061","hsa00061","Fatty acid biosynthesis","5/2744","18/8586",0.729920230506649,1,0.752772138060284,"2180/23305/2182/32/2194",5
"hsa04660","hsa04660","T cell receptor signaling pathway","36/2744","121/8586",0.730763365756163,1,0.752772138060284,"3725/10000/8503/3932/998/7535/926/925/5062/5290/5522/5530/4790/7006/3702/5295/84433/5063/5533/7410/5526/5058/5970/1326/5588/920/2353/6655/207/4792/10125/9020/10892/4773/7409/5600",36
"hsa00130","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","3/2744","11/8586",0.735343462998544,1,0.752772138060284,"27235/51805/1728",3
"hsa05162","hsa05162","Measles","41/2744","138/8586",0.74437385710789,1,0.752772138060284,"3725/10000/8503/7161/3716/9451/3552/5290/7097/4790/5295/7128/54205/1021/51209/9134/7099/572/595/7189/5970/355/894/4940/317/51135/6773/2353/207/4792/7187/440275/8717/6776/898/3718/7297/3560/4599/4600/3454",41
"hsa05133","hsa05133","Pertussis","22/2744","76/8586",0.752038105162301,1,0.752772138060284,"3725/725/3552/6372/6374/3576/4790/3659/7099/7189/5970/3688/840/3678/715/51135/2353/1073/29108/4843/718/5600",22
"hsa05160","hsa05160","Hepatitis C","47/2744","158/8586",0.752536861772749,1,0.752772138060284,"149461/10000/8503/3716/9451/8837/5010/9076/10686/5290/5522/1950/4790/7098/5295/1026/54205/1021/1365/1364/1956/9075/7186/572/595/7189/5970/3434/355/4940/317/6773/9071/5925/6655/207/4792/7187/440275/9080/8717/1869/7297/7122/4599/4600/3454",47
"hsa00510","hsa00510","N-Glycan biosynthesis","15/2744","53/8586",0.761555493429399,1,0.752772138060284,"199857/10905/57134/29929/84620/6480/11282/4121/7991/2683/79796/84920/25834/2530/4122",15
"hsa00983","hsa00983","Drug metabolism - other enzymes","23/2744","80/8586",0.767908427295295,1,0.752772138060284,"1806/978/51727/2948/2949/2947/6241/8833/7372/7364/7363/3614/3251/10/6240/119391/1571/4257/1854/4833/4832/7083/653689",23
"hsa04130","hsa04130","SNARE interactions in vesicular transport","9/2744","33/8586",0.774899315606896,1,0.752772138060284,"9554/9341/8417/8676/6811/112755/6844/9570/9342",9
"hsa01523","hsa01523","Antifolate resistance","8/2744","30/8586",0.791060782348895,1,0.752772138060284,"471/4790/1719/5970/8714/113235/6573/2618",8
"hsa04721","hsa04721","Synaptic vesicle cycle","22/2744","78/8586",0.797181956985644,1,0.752772138060284,"6538/10815/1212/10814/6534/50617/774/57084/6571/6572/6539/6540/112755/527/9114/6844/140679/6616/5864/57030/23025/8218",22
"hsa04216","hsa04216","Ferroptosis","11/2744","41/8586",0.807521448315462,1,0.752772138060284,"30061/2180/23305/2182/6303/643246/81631/246/5621/84557/3162",11
"hsa00062","hsa00062","Fatty acid elongation","7/2744","27/8586",0.808861326857168,1,0.752772138060284,"5538/64834/284486/79071/60481/54898/9200",7
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","13/2744","48/8586",0.809819560374483,1,0.752772138060284,"64064/316/1962/56922/501/64087/54511/38/27034/35/5095/4329/224",13
"hsa00670","hsa00670","One carbon pool by folate","5/2744","20/8586",0.816553993690821,1,0.752772138060284,"471/10840/1719/4522/2618",5
"hsa04217","hsa04217","Necroptosis","46/2744","159/8586",0.81876950433538,1,0.752772138060284,"142/824/3716/6775/8837/3552/51652/3015/5481/7098/817/8878/815/9555/3326/8336/8334/8331/8329/8969/7128/292/8795/8797/92421/51510/3717/7186/7099/330/5837/329/3014/6609/355/6773/192111/197259/29108/8717/246/6776/5834/3718/7297/3454",46
"hsa03420","hsa03420","Nucleotide excision repair","17/2744","63/8586",0.837749975100408,1,0.752772138060284,"6118/5984/2966/6119/5982/7507/10714/2074/5985/5426/5983/5427/6117/5111/2068/5424/3978",17
"hsa00120","hsa00120","Primary bile acid biosynthesis","4/2744","17/8586",0.843098561016446,1,0.752772138060284,"1593/1582/3295/9420",4
"hsa04136","hsa04136","Autophagy - other","8/2744","32/8586",0.850396382030434,1,0.752772138060284,"84938/30849/285973/115201/23710/11345/55062/9706",8
"hsa05110","hsa05110","Vibrio cholerae infection","13/2744","50/8586",0.855707935712156,1,0.752772138060284,"5567/109/29927/6558/50617/11014/537/3784/527/9114/5578/71/11015",13
"hsa00480","hsa00480","Glutathione metabolism","15/2744","57/8586",0.855863977612886,1,0.752772138060284,"2948/2949/2947/3417/6241/494143/493869/79017/373156/26873/6240/119391/4257/290/653689",15
"hsa00040","hsa00040","Pentose and glucuronate interconversions","9/2744","36/8586",0.860134267976919,1,0.752772138060284,"55277/7360/9942/7364/7363/729920/6652/51181/27294",9
"hsa00500","hsa00500","Starch and sucrose metabolism","9/2744","36/8586",0.860134267976919,1,0.752772138060284,"5236/7360/2632/5167/2645/5837/80201/3098/5834",9
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","21/2744","78/8586",0.860614762422376,1,0.752772138060284,"2948/2949/2947/1545/7364/130/7363/1577/373156/222/119391/1571/4257/1543/1555/1553/1572/27294/29785/653689/873",21
"hsa00511","hsa00511","Other glycan degradation","4/2744","18/8586",0.875435226876387,1,0.752772138060284,"2517/2720/4126/23324",4
"hsa00220","hsa00220","Arginine biosynthesis","5/2744","22/8586",0.87930028052016,1,0.752772138060284,"2744/27165/4842/162417/4843",5
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","9/2744","37/8586",0.881995690340598,1,0.752772138060284,"8659/284716/790/2571/2744/5471/9945/7915/27165",9
"hsa05216","hsa05216","Thyroid cancer","9/2744","37/8586",0.881995690340598,1,0.752772138060284,"4914/1647/83439/5468/51176/1026/595/5979/4616",9
"hsa00592","hsa00592","alpha-Linolenic acid metabolism","6/2744","26/8586",0.8843136148334,1,0.752772138060284,"5320/151056/8310/11145/51/50487",6
"hsa00591","hsa00591","Linoleic acid metabolism","7/2744","30/8586",0.889798434799519,1,0.752772138060284,"1573/5320/151056/11145/1571/246/50487",7
"hsa05164","hsa05164","Influenza A","47/2744","171/8586",0.912912695262887,1,0.752772138060284,"10000/8503/3716/7514/3552/5290/3836/3576/4790/7098/5295/3117/3119/3123/54205/1021/292/8795/8797/3717/7099/3606/79671/5970/355/4940/317/51135/6773/5611/207/4792/7187/29108/8717/23430/5579/5578/3838/71/6347/3383/7297/7113/4599/4600/3454",47
"hsa00830","hsa00830","Retinol metabolism","17/2744","68/8586",0.91656526874505,1,0.752772138060284,"9249/56603/316/7364/130/7363/9227/1577/157506/195814/216/1592/8630/145226/1543/1555/29785",17
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","17/2744","68/8586",0.91656526874505,1,0.752772138060284,"10000/8503/5290/5295/695/6850/7410/9846/241/6655/207/5608/5578/5881/7409/5600/5880",17
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","26/2744","100/8586",0.920327219529065,1,0.752772138060284,"7133/1435/11009/3570/57007/7852/3579/53833/6372/6374/2921/3576/1436/3572/9547/53832/10344/8795/8793/8797/3606/6387/4055/6376/6347/3560",26
"hsa04975","hsa04975","Fat digestion and absorption","10/2744","43/8586",0.921355590837656,1,0.752772138060284,"5320/338/346606/948/19/1056/38/84649/8612/50487",10
"hsa00100","hsa00100","Steroid biosynthesis","4/2744","20/8586",0.923148898028476,1,0.752772138060284,"6646/6307/1056/1591",4
"hsa04620","hsa04620","Toll-like receptor signaling pathway","27/2744","104/8586",0.925130784259425,1,0.752772138060284,"7100/3725/10000/8503/5290/7097/6696/3576/7096/10333/4790/7098/5295/7099/7189/5970/1326/51135/2353/207/4792/7187/5608/3929/958/5600/3454",27
"hsa00430","hsa00430","Taurine and hypotaurine metabolism","3/2744","16/8586",0.926350711510121,1,0.752772138060284,"2571/1036/51380",3
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts","17/2744","70/8586",0.937613649659548,1,0.752772138060284,"5743/2948/2949/2947/1545/7364/7363/1577/373156/10/119391/1571/4257/1543/1553/653689/873",17
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","6/2744","30/8586",0.951003097528872,1,0.752772138060284,"4190/3417/8801/6392/5091/55753",6
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","6/2744","30/8586",0.951003097528872,1,0.752772138060284,"4190/2731/38/5095/2653/84532",6
"hsa05330","hsa05330","Allograft rejection","8/2744","38/8586",0.952013716619215,1,0.752772138060284,"3105/3134/3117/3119/3123/5551/355/958",8
"hsa05332","hsa05332","Graft-versus-host disease","9/2744","42/8586",0.953200038282974,1,0.752772138060284,"3552/3105/3134/3117/3119/3123/5551/355/3824",9
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","17/2744","72/8586",0.953963387137002,1,0.752772138060284,"2948/2949/2947/316/7364/130/7363/1577/373156/4129/4128/222/119391/1571/4257/1555/653689",17
"hsa05017","hsa05017","Spinocerebellar ataxia","37/2744","143/8586",0.954067235009763,1,0.752772138060284,"115209/1600/10000/8503/30849/5290/2890/5295/2911/6310/54205/5649/292/2902/7186/5331/10105/56652/8408/207/5330/487/5579/146227/489/5578/55062/9706/2081/5173/10528/11317/5332/5582/23152/3748/6261",37
"hsa01200","hsa01200","Carbon metabolism","29/2744","115/8586",0.954111702179442,1,0.752772138060284,"9563/26227/4190/3417/8801/7086/8310/4199/2645/5634/9104/2731/2203/6888/6392/38/5091/80201/55753/5214/3098/113675/35/5095/4329/2653/230/51/84532",29
"hsa05415","hsa05415","Diabetic cardiomyopathy","54/2744","203/8586",0.960187789882379,1,0.752772138060284,"7388/1376/7042/142/10000/8503/440567/4688/1281/3667/7048/5290/4790/817/9945/5295/815/5350/51660/948/5166/1278/5165/292/1537/7046/6392/5331/5970/10105/5501/9882/7043/207/5330/9377/4088/4313/487/5579/489/5578/516/1636/1277/498/4318/5332/7137/125965/7040/5582/5600/5880",54
"hsa04966","hsa04966","Collecting duct acid secretion","5/2744","27/8586",0.96209920210922,1,0.752772138060284,"1188/50617/527/9114/495",5
"hsa04714","hsa04714","Thermogenesis","62/2744","232/8586",0.966046647893896,1,0.752772138060284,"63976/7388/1376/65260/388753/4879/148327/5567/4878/656/440567/4881/55471/55818/109/25915/5468/11343/111/10891/152831/5593/2180/108/23305/6196/29078/1268/9586/107/51422/6604/51412/64764/55744/2182/6197/114/1537/2260/10488/6595/6392/90993/1374/5592/112/6655/8110/9377/113/6605/516/71/6603/9658/498/26291/125965/84699/8193/5600",62
"hsa04612","hsa04612","Antigen processing and presentation","18/2744","78/8586",0.96806095481201,1,0.752772138060284,"1520/926/925/3308/972/3105/3326/3134/3117/3119/3123/1508/3309/3824/920/4801/3306/567",18
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","15/2744","67/8586",0.968835419561588,1,0.752772138060284,"5236/130/501/2645/2203/3939/222/80201/5214/3098/3945/224/230/84532/26330",15
"hsa05322","hsa05322","Systemic lupus erythematosus","34/2744","137/8586",0.973364262312443,1,0.752772138060284,"8349/3015/9555/8352/8344/8354/8336/8348/8334/8968/8353/8331/8363/8362/8357/3117/3119/8329/8340/8345/8355/8970/8969/8294/85236/3123/286436/3014/715/87/6632/6628/958/718",34
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","43/2744","170/8586",0.97711672937683,1,0.752772138060284,"10905/22926/57134/80267/26270/824/3300/23190/9451/285126/27248/9695/6747/29927/22872/9871/22824/64374/51128/10299/3326/51465/4121/5071/51360/29978/23471/7991/3309/7186/1410/64215/25956/10970/5611/55757/10484/6400/267/9709/2081/5034/23645",43
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","28/2744","117/8586",0.978090967273975,1,0.752772138060284,"54891/57504/29994/3015/9555/8336/8334/8331/8329/8969/6604/51412/6594/6595/10263/3014/8089/8110/9274/6605/71/6603/1107/2186/8932/79913/8193/27443",28
"hsa05010","hsa05010","Alzheimer disease","105/2744","384/8586",0.980391654438359,1,0.752772138060284,"7388/1435/7482/1131/27173/5743/22926/10000/54361/8503/440567/824/23385/7483/7475/80326/8324/7277/3667/9451/3552/6868/7476/30849/7474/5290/1857/776/27123/5530/5481/6622/4790/7478/5295/7922/54205/51384/8321/8326/778/8471/292/27035/4023/8323/5533/1537/2902/7186/50507/8322/6392/5331/572/91252/1128/23621/7481/5970/22943/3799/10023/23401/7479/10105/8325/840/355/4035/7480/10376/8408/7846/283375/317/4842/81029/775/8660/207/83464/5330/9377/6263/8883/487/10381/489/516/2535/55062/9706/2081/4843/7484/25800/84617/498/5332/10382/125965/10297/348/7477",105
"hsa00140","hsa00140","Steroid hormone biosynthesis","13/2744","62/8586",0.980468046689597,1,0.752772138060284,"1545/7364/7363/1577/412/9420/8644/1571/8630/1543/3291/3294/6820",13
"hsa00053","hsa00053","Ascorbate and aldarate metabolism","5/2744","30/8586",0.982204738515455,1,0.752772138060284,"7364/7363/501/9104/224",5
"hsa04910","hsa04910","Insulin signaling pathway","33/2744","137/8586",0.983309894542613,1,0.752772138060284,"10000/5567/8503/3667/5290/10891/253314/5295/5577/51422/2645/5575/8471/79660/2203/5837/572/3636/3632/80201/10580/3098/5501/32/8660/6655/207/8651/2194/5573/5834/9322/25759",33
"hsa03013","hsa03013","Nucleocytoplasmic transport","25/2744","108/8586",0.983416230795232,1,0.752772138060284,"4116/55706/7514/129401/3836/23225/53371/9631/51194/348995/23165/23534/23279/57122/79023/84305/5901/3843/64328/10073/79228/3838/81929/1434/10762",25
"hsa00860","hsa00860","Porphyrin metabolism","8/2744","43/8586",0.983613527806822,1,0.752772138060284,"7364/7363/212/9843/2395/3145/124454/3162",8
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","15/2744","71/8586",0.984624328122727,1,0.752772138060284,"10010/843/3576/4790/7186/338376/79671/7189/5970/4792/7187/8717/79132/54941/5600",15
"hsa01230","hsa01230","Biosynthesis of amino acids","16/2744","75/8586",0.985079048437149,1,0.752772138060284,"1491/26227/29920/3417/7086/5634/6888/5091/4143/5214/5053/113675/230/162417/875/102724560",16
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","16/2744","75/8586",0.985079048437149,1,0.752772138060284,"84265/9447/4790/10622/115004/1687/79792/3606/5970/840/4792/197259/29108/51728/25939/1777",16
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","131/2744","476/8586",0.986436037850659,1,0.752772138060284,"7133/7388/1435/7482/65018/1131/5743/22926/127602/54361/440567/824/7483/10010/7475/80326/8324/7277/9451/3552/5861/7476/30849/7474/25981/1857/776/27123/5530/5481/6622/4790/817/493869/8878/2890/1767/7478/815/51465/2911/6310/5071/1616/54205/51384/2861/8321/8326/3092/8701/116442/778/292/27035/4741/8323/4747/5533/1537/2902/27019/11258/3309/774/7186/627/50507/8322/6392/5331/572/9246/1128/7481/5970/22943/3799/10023/23401/7479/10105/8325/840/10133/355/643246/7480/10376/8408/7846/317/4842/7316/81029/775/55860/53349/5330/9377/6263/10131/487/10381/5579/55567/81631/489/9001/5608/5578/516/2535/55062/9706/2081/4843/7484/84617/498/5173/5621/5332/84557/10382/125965/10297/5582/6261/7477/5600",131
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","31/2744","132/8586",0.987763297538228,1,0.752772138060284,"962/8503/3932/7535/5290/5530/5295/3105/80329/80328/2185/5533/8795/8797/6850/7410/5058/5551/355/3824/6655/5579/5578/5881/4773/7409/3383/5582/25759/5880/3454",31
"hsa05320","hsa05320","Autoimmune thyroid disease","10/2744","53/8586",0.989041358072334,1,0.752772138060284,"7173/3105/3134/3117/3119/3123/7038/5551/355/958",10
"hsa03060","hsa03060","Protein export","3/2744","23/8586",0.990437928143329,1,0.752772138060284,"29927/60559/3309",3
"hsa03018","hsa03018","RNA degradation","16/2744","79/8586",0.992861043944122,1,0.752772138060284,"7832/3329/54464/23016/5393/11157/167227/340529/645974/23404/28960/5214/694/25804/56915/10950",16
"hsa04744","hsa04744","Phototransduction","4/2744","29/8586",0.993244881193007,1,0.752772138060284,"2780/2792/3000/5148",4
"hsa03020","hsa03020","RNA polymerase","5/2744","34/8586",0.993855892163975,1,0.752772138060284,"84265/84172/10622/64425/51728",5
"hsa05310","hsa05310","Asthma","4/2744","31/8586",0.996226204530593,1,0.752772138060284,"3117/3119/3123/958",4
"hsa00563","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","3/2744","26/8586",0.996228689462709,1,0.752772138060284,"55650/80235/2822",3
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","35/2744","155/8586",0.996394526332709,1,0.752772138060284,"7388/3725/10000/8503/440567/3570/998/10018/3667/9451/3552/5290/5468/3576/4790/5295/54205/51422/51085/1537/7186/6392/5970/1571/840/355/8660/2353/207/9377/2081/83737/125965/7040/5600",35
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","31/2744","142/8586",0.997322627160088,1,0.752772138060284,"991/64682/55120/134111/6502/7320/51465/5071/9820/7328/4281/23221/330/9246/329/7189/9886/7316/4193/4734/92912/8651/64750/672/79444/11065/83737/23624/27338/51343/10055",31
"hsa05150","hsa05150","Staphylococcus aureus infection","19/2744","96/8586",0.997352550031343,1,0.752772138060284,"5648/3426/3117/3119/3123/715/6404/3875/719/3860/3866/3880/3857/3861/3872/1828/728/3383/718",19
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","53/2744","223/8586",0.997410350920702,1,0.752772138060284,"7388/253152/3725/10000/8503/440567/4688/2948/2949/2947/27/1545/5290/5337/1950/10861/4790/5295/2309/196/4233/1956/292/27035/1537/50507/6392/572/5970/5795/8644/119391/10105/1571/4257/2353/6655/207/3091/4792/9377/1543/1728/516/9020/498/1572/125965/79852/5600/3162/653689/873",53
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","4/2744","33/8586",0.997915642916692,1,0.752772138060284,"3417/55526/55753/162417",4
"hsa00900","hsa00900","Terpenoid backbone biosynthesis","2/2744","23/8586",0.998335823395386,1,0.752772138060284,"38/23590",2
"hsa05206","hsa05206","MicroRNAs in cancer","76/2744","310/8586",0.998588212531635,1,0.752772138060284,"85414/7042/1942/5743/4853/63923/8503/1545/5581/10018/3667/659/9839/2744/131405/8626/5290/993/27086/5156/4790/5159/995/1946/5295/4082/1026/5292/407014/1021/4233/5243/1956/23414/9134/407011/3371/5962/960/595/113130/5328/6935/23411/27250/7431/648/27165/3678/894/4193/8660/6655/90427/7057/9493/7168/5579/8651/5578/2064/442898/3690/672/4318/1869/994/1591/1789/898/10297/5582/1786/5155/7078/3162",76
"hsa03022","hsa03022","Basal transcription factors","6/2744","45/8586",0.998925022219975,1,0.752772138060284,"2960/2966/54457/8148/6875/2068",6
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis","10/2744","66/8586",0.999471128430694,1,0.752772138060284,"25973/55157/92935/23395/51520/55278/7407/79731/16/124454",10
"hsa05171","hsa05171","Coronavirus disease - COVID-19","51/2744","232/8586",0.999750262424953,1,0.752772138060284,"3725/8503/3570/3716/6868/200916/5648/5290/3921/7097/3576/4790/7098/5295/3572/1839/115004/1956/6850/7099/6188/4312/7189/5970/8829/715/4940/719/51135/6773/2353/4792/7187/6235/51065/5579/6123/5578/6154/1636/6347/728/6217/5582/718/7297/5600/7113/4599/4600/3454",51
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","81/2744","364/8586",0.999988881850508,1,0.752772138060284,"7133/7388/65018/22926/127602/55706/440567/6432/10010/7277/9451/129401/5861/2066/30849/25981/23225/5530/53371/9631/493869/8878/2890/1767/6428/348995/5071/1616/54205/23165/8701/3181/116442/29978/10013/4741/4747/5533/1537/3084/2902/27019/11258/3309/7186/6392/572/23279/3799/10718/10133/57122/643246/79023/10376/3178/8408/7846/317/4842/55860/9377/10381/55567/81631/9001/5608/516/55062/9706/2081/71/4843/84617/498/81929/84557/10382/125965/10762/5600",81
"hsa03015","hsa03015","mRNA surveillance pathway","12/2744","97/8586",0.999998220543069,1,0.752772138060284,"4116/51692/5522/53918/340529/645974/5526/5501/84305/53981/11051/26528",12
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","26/2744","164/8586",0.999999332792653,1,0.752772138060284,"10885/55127/84128/7514/51602/23160/54464/6949/55651/10799/83732/23195/10248/51119/1736/138716/55226/10556/5901/54913/55272/81691/28987/51096/10528/2091",26
