,Wi-iPSC-1,Wi-iPSC-2,Wi-iPSC-3,H11-iPSC-1,H11-iPSC-2,H11-iPSC-3
ENSG00000279531,14,20,124,28,24,7
ENSG00000201016,0,0,0,0,0,0
ENSG00000279869,0,0,0,0,0,0
ENSG00000251593,4,1,1,4,1,0
ENSG00000222560,0,0,0,0,0,0
ENSG00000249099,0,0,0,0,0,0
ENSG00000230571,0,0,0,0,0,0
ENSG00000248426,0,0,0,0,0,0
ENSG00000250703,0,0,1,0,0,0
ENSG00000251033,0,0,0,0,0,0
ENSG00000249616,0,0,0,0,0,0
ENSG00000113100,78,22,1,16,2,1
ENSG00000207261,0,0,0,0,0,0
ENSG00000248490,0,0,0,0,0,0
ENSG00000250337,101,88,418,416,202,142
ENSG00000250079,0,0,0,0,0,0
ENSG00000249785,0,0,0,0,0,0
ENSG00000252867,0,0,0,0,0,0
ENSG00000250453,0,0,0,0,0,0
ENSG00000270495,0,0,0,0,0,0
ENSG00000271035,0,0,0,0,0,0
ENSG00000162685,0,0,0,0,0,0
ENSG00000226400,0,0,0,0,0,0
ENSG00000277878,0,0,0,0,0,0
ENSG00000249226,0,0,0,0,0,0
ENSG00000252601,0,0,0,0,0,0
ENSG00000248687,0,0,0,0,0,0
ENSG00000270430,0,0,0,0,0,0
ENSG00000259786,1,0,0,0,1,0
ENSG00000248391,0,0,0,0,0,0
ENSG00000276098,0,0,0,0,0,0
ENSG00000248418,0,0,0,0,0,0
ENSG00000250984,0,0,0,0,0,0
ENSG00000249744,0,0,0,0,0,0
ENSG00000233787,0,0,0,0,0,0
ENSG00000223136,1,0,0,0,0,0
ENSG00000280305,0,0,0,0,0,0
ENSG00000250587,0,0,0,0,0,0
ENSG00000250118,0,0,0,0,0,0
ENSG00000241668,0,0,0,0,0,0
ENSG00000253940,0,0,0,0,0,0
ENSG00000254138,0,0,0,0,0,0
ENSG00000113361,352,114,61,2055,291,185
ENSG00000250482,0,0,0,0,0,0
ENSG00000113360,2480,1340,2043,2232,1906,2540
ENSG00000206682,0,0,0,0,0,0
ENSG00000082213,1245,767,773,827,927,812
ENSG00000279923,6,8,4,5,9,4
ENSG00000199765,0,0,0,0,0,0
ENSG00000133401,133,78,212,171,144,190
ENSG00000248624,0,0,0,0,0,1
ENSG00000248878,0,1,0,0,0,0
ENSG00000249114,0,0,0,0,0,0
ENSG00000248813,0,0,0,0,0,0
ENSG00000248378,0,0,0,0,0,0
ENSG00000250164,0,0,0,0,0,0
ENSG00000249688,0,0,0,0,0,0
ENSG00000252373,0,0,0,0,0,0
ENSG00000224282,0,0,0,0,0,0
ENSG00000251887,0,0,0,0,0,0
ENSG00000241739,0,0,0,0,2,0
ENSG00000243914,0,0,0,0,0,0
ENSG00000214108,0,0,0,0,0,1
ENSG00000249774,0,1,0,1,0,1
ENSG00000266243,0,0,0,0,0,0
ENSG00000250764,0,0,6,5,3,0
ENSG00000113384,3441,2166,2167,2556,2852,2747
ENSG00000200065,0,0,0,0,0,0
ENSG00000272086,121,129,83,113,146,114
ENSG00000230829,2,4,1,0,4,1
ENSG00000150712,1939,957,1164,1334,1346,1407
ENSG00000199731,0,0,1,1,0,0
ENSG00000207052,0,0,0,0,0,0
ENSG00000056097,3422,1749,2514,2518,2405,2873
ENSG00000207956,0,0,0,0,0,0
ENSG00000249142,0,0,1,2,0,0
ENSG00000113387,4666,3849,3076,3343,4178,3240
ENSG00000250885,0,0,0,0,0,0
ENSG00000113389,1,0,6,7,3,6
ENSG00000251062,0,0,1,0,0,0
ENSG00000250697,1,0,0,0,0,0
ENSG00000248279,0,0,0,0,0,0
ENSG00000249102,0,0,0,0,0,0
ENSG00000251281,0,0,0,0,0,0
ENSG00000250672,0,2,0,0,0,0
ENSG00000240376,20,50,20,19,44,22
ENSG00000251443,0,0,0,0,0,0
ENSG00000249572,30,10,18,25,11,16
ENSG00000113407,13463,7752,6881,7650,8302,8987
ENSG00000249360,0,0,0,0,1,0
ENSG00000250583,0,0,0,0,0,0
ENSG00000151388,425,231,286,436,310,260
ENSG00000201623,0,0,0,0,1,0
ENSG00000182631,0,0,1,0,2,0
ENSG00000164175,0,1,3,2,2,0
ENSG00000250914,0,0,0,0,0,0
ENSG00000242110,157,102,89,89,85,82
ENSG00000273294,0,0,2,4,0,0
ENSG00000250767,0,0,0,0,0,0
ENSG00000082196,9,11,9,8,2,10
ENSG00000278900,0,0,0,0,0,0
ENSG00000279995,0,0,0,0,0,0
ENSG00000271771,0,1,0,0,1,0
ENSG00000215158,140,83,141,142,93,102
ENSG00000215156,3,4,3,4,1,3
ENSG00000249380,0,0,0,0,0,0
ENSG00000271874,0,2,10,9,2,7
ENSG00000039560,3602,2301,4027,5678,5299,6540
ENSG00000250234,3,2,1,2,2,1
ENSG00000272323,10,10,6,10,10,3
ENSG00000205838,17,25,18,21,24,14
ENSG00000250140,0,0,0,1,0,0
ENSG00000241829,0,1,0,2,1,0
ENSG00000113456,1099,843,888,942,1027,916
ENSG00000113460,1697,1337,1179,1250,1457,1366
ENSG00000168724,1554,1140,1311,1474,1459,1348
ENSG00000113492,0,0,0,0,1,0
ENSG00000113494,71,30,49,43,39,42
ENSG00000250886,0,0,0,0,0,0
ENSG00000201368,0,0,0,0,0,0
ENSG00000152582,25,10,7,25,11,4
ENSG00000238441,0,0,0,0,0,0
ENSG00000248969,0,0,0,0,0,0
ENSG00000168685,2,1,1,4,2,4
ENSG00000279737,0,0,0,0,0,0
ENSG00000248349,0,0,0,0,0,0
ENSG00000152611,0,0,0,2,1,0
ENSG00000249748,0,0,0,0,0,0
ENSG00000145626,151,126,71,103,66,52
ENSG00000168671,896,590,497,790,783,640
ENSG00000251591,0,0,0,0,0,0
ENSG00000164187,227,128,215,267,166,164
ENSG00000207756,0,0,0,0,0,0
ENSG00000145604,2239,1450,1214,1902,2045,1961
ENSG00000201223,0,0,0,0,0,0
ENSG00000152620,713,415,355,492,431,321
ENSG00000245711,0,0,2,6,0,0
ENSG00000164188,1,0,1,7,4,0
ENSG00000242292,0,0,0,0,0,0
ENSG00000079215,244,282,600,372,448,554
ENSG00000274441,0,0,1,2,1,1
ENSG00000250155,1,0,7,6,6,2
ENSG00000279400,5,2,5,4,2,3
ENSG00000272103,0,0,0,0,0,0
ENSG00000164190,2195,1146,1547,1558,1223,1737
ENSG00000249850,1,0,0,2,0,0
ENSG00000244073,2,5,1,0,2,3
ENSG00000197603,336,143,173,290,178,200
ENSG00000271378,0,0,0,0,0,0
ENSG00000228212,0,0,0,0,0,0
ENSG00000242493,0,0,2,0,0,0
ENSG00000270558,8,29,10,30,39,30
ENSG00000113569,3167,1712,2501,3062,2923,2624
ENSG00000251880,0,0,0,0,0,0
ENSG00000250455,0,0,0,0,0,0
ENSG00000082068,1096,759,695,853,875,736
ENSG00000248216,0,0,1,0,0,0
ENSG00000222743,0,0,0,0,0,0
ENSG00000206743,0,0,0,0,0,0
ENSG00000248587,1,8,19,11,5,7
ENSG00000168621,3,4,9,15,10,12
ENSG00000248539,0,0,0,0,0,0
ENSG00000250032,0,0,0,0,0,0
ENSG00000251518,0,0,0,0,0,0
ENSG00000248533,0,0,0,0,0,0
ENSG00000250003,0,0,0,0,0,0
ENSG00000248461,0,0,0,0,0,0
ENSG00000276332,0,0,0,0,0,0
ENSG00000164318,6,11,11,15,12,9
ENSG00000248730,0,0,0,0,0,0
ENSG00000249071,0,0,0,0,0,0
ENSG00000248572,0,0,0,0,0,0
ENSG00000249491,0,0,0,0,0,0
ENSG00000248234,0,0,0,0,0,0
ENSG00000251257,0,0,0,0,0,0
ENSG00000113594,530,284,612,629,584,633
ENSG00000244968,15,8,20,25,20,9
ENSG00000265304,0,0,0,0,0,0
ENSG00000251189,0,0,0,0,0,0
ENSG00000249740,2,0,4,4,1,0
ENSG00000248577,0,0,0,0,0,0
ENSG00000250629,0,0,0,0,0,0
ENSG00000145623,62,69,110,107,98,97
ENSG00000164327,524,293,487,464,403,448
ENSG00000249089,0,0,0,0,0,0
ENSG00000082074,0,0,0,0,1,0
ENSG00000251215,0,0,0,0,0,0
ENSG00000113600,0,0,0,0,0,0
ENSG00000153071,109,100,117,206,239,287
ENSG00000271334,0,0,0,0,0,0
ENSG00000251515,0,0,0,0,0,0
ENSG00000250492,1,1,0,1,0,0
ENSG00000248651,0,0,0,0,0,0
ENSG00000250048,0,0,0,0,0,0
ENSG00000249668,0,0,0,0,0,0
ENSG00000250585,0,0,0,0,0,0
ENSG00000199361,0,0,0,0,0,0
ENSG00000283286,0,0,0,0,0,0
ENSG00000113638,283,128,207,229,181,156
ENSG00000199552,0,0,0,0,0,0
ENSG00000171522,12,14,20,36,33,16
ENSG00000132356,728,397,632,594,576,484
ENSG00000212567,0,0,0,0,0,0
ENSG00000279126,0,0,0,0,0,0
ENSG00000145592,16585,16892,10443,11249,16670,10788
ENSG00000212296,0,0,1,3,3,1
ENSG00000132357,17,19,20,17,9,15
ENSG00000112936,2,1,1,0,0,0
ENSG00000253098,0,0,0,0,0,0
ENSG00000248120,0,0,0,0,0,0
ENSG00000171495,0,0,0,0,0,0
ENSG00000039537,0,0,0,0,0,0
ENSG00000182836,1,3,1,10,4,1
ENSG00000251478,0,0,0,0,2,0
ENSG00000083720,1353,742,765,937,817,1048
ENSG00000248668,7,3,4,8,2,13
ENSG00000240281,0,0,0,0,0,0
ENSG00000205765,1183,843,843,1032,1199,996
ENSG00000151876,37,32,19,23,13,7
ENSG00000239694,0,0,0,0,0,0
ENSG00000199487,0,0,0,0,0,0
ENSG00000249266,0,0,0,0,0,0
ENSG00000260786,0,0,0,0,0,0
ENSG00000112964,10,12,10,10,14,5
ENSG00000248873,3,2,11,6,7,3
ENSG00000250860,0,0,0,0,0,0
ENSG00000270513,0,0,0,0,0,0
ENSG00000198865,578,384,263,258,201,167
ENSG00000250722,252,83,39,36,17,18
ENSG00000272234,0,0,0,0,0,0
ENSG00000249092,1,0,0,0,2,0
ENSG00000251163,0,0,0,0,0,0
ENSG00000251656,0,0,0,0,0,0
ENSG00000249516,0,0,0,0,0,0
ENSG00000250711,0,0,0,0,0,0
ENSG00000271788,0,0,0,0,1,1
ENSG00000177738,35,35,39,51,35,38
ENSG00000251131,0,0,0,0,0,0
ENSG00000272382,0,0,0,0,0,0
ENSG00000177721,3,4,4,0,2,3
ENSG00000215068,0,0,2,1,0,0
ENSG00000272144,0,0,0,0,0,0
ENSG00000172262,1018,545,639,685,632,662
ENSG00000278487,0,0,0,0,0,0
ENSG00000177453,0,0,1,1,0,2
ENSG00000249779,0,0,0,0,0,1
ENSG00000249888,0,0,0,0,0,0
ENSG00000247763,0,1,0,0,0,0
ENSG00000261604,8,15,22,17,25,24
ENSG00000112972,3678,2372,3742,4170,3341,5219
ENSG00000188850,0,0,0,0,0,0
ENSG00000151882,8,18,0,2,2,1
ENSG00000151881,147,101,149,113,113,98
ENSG00000249492,7,2,8,2,4,4
ENSG00000172244,238,181,279,233,175,218
ENSG00000249855,23,16,16,18,19,15
ENSG00000248554,0,2,0,1,3,0
ENSG00000248240,0,0,0,1,0,1
ENSG00000172239,3467,1973,1718,2099,2208,2109
ENSG00000248092,145,124,125,120,138,99
ENSG00000279557,1,1,0,1,1,0
ENSG00000249286,1,0,3,4,5,0
ENSG00000112992,813,469,543,730,505,596
ENSG00000224993,0,2,0,0,2,1
ENSG00000249276,0,0,0,0,0,0
ENSG00000212561,0,0,0,0,0,0
ENSG00000070193,0,0,1,9,3,1
ENSG00000248464,0,0,0,0,0,0
ENSG00000249203,0,0,2,0,0,0
ENSG00000250418,0,0,0,0,0,0
ENSG00000263556,0,0,0,0,0,0
ENSG00000251141,26,16,25,9,16,17
ENSG00000248779,0,0,0,0,0,0
ENSG00000112996,1534,1084,1267,1353,1567,1547
ENSG00000272335,72,133,109,89,107,112
ENSG00000248148,0,0,0,0,0,0
ENSG00000164588,77,63,135,110,111,135
ENSG00000250422,0,0,0,0,0,0
ENSG00000250017,0,0,0,0,0,0
ENSG00000250122,0,0,0,0,0,0
ENSG00000170571,1562,1031,1314,1392,1317,1097
ENSG00000271455,0,0,0,0,0,0
ENSG00000213956,0,0,0,0,0,1
ENSG00000271752,1,0,2,2,0,0
ENSG00000151883,537,421,462,496,397,540
ENSG00000249405,0,0,0,0,0,0
ENSG00000270830,0,0,0,0,0,0
ENSG00000251601,0,0,0,0,0,0
ENSG00000250360,0,0,0,0,0,0
ENSG00000251573,0,0,2,0,0,0
ENSG00000248918,0,0,0,0,0,0
ENSG00000207060,0,0,0,0,0,0
ENSG00000278734,0,0,0,0,0,0
ENSG00000206606,0,0,0,0,0,0
ENSG00000240627,0,0,0,0,0,0
ENSG00000259663,0,0,2,0,1,1
ENSG00000016082,1,0,6,9,3,1
ENSG00000249338,0,0,0,0,0,0
ENSG00000248891,0,0,0,0,0,0
ENSG00000251125,0,0,0,0,0,0
ENSG00000249270,0,0,0,0,0,0
ENSG00000279470,0,0,0,0,0,0
ENSG00000248789,0,0,0,0,0,0
ENSG00000244621,0,0,0,0,0,0
ENSG00000250827,0,0,0,0,0,0
ENSG00000248898,0,0,0,0,0,0
ENSG00000213949,203,131,251,297,243,262
ENSG00000152684,938,655,647,791,914,836
ENSG00000251237,0,0,0,1,0,0
ENSG00000241809,0,0,0,0,0,0
ENSG00000249899,0,0,0,0,0,0
ENSG00000164171,227,119,256,264,175,177
ENSG00000272123,2,0,0,0,0,0
ENSG00000164172,574,426,343,435,423,411
ENSG00000247796,67,55,54,71,58,35
ENSG00000213940,0,0,0,0,0,0
ENSG00000240052,0,0,0,0,0,0
ENSG00000134363,2318,857,233,1038,498,304
ENSG00000164258,1080,972,612,677,827,547
ENSG00000250447,0,0,0,0,0,0
ENSG00000217791,2,1,0,0,0,1
ENSG00000272416,4,7,3,10,13,4
ENSG00000185305,440,322,363,337,474,326
ENSG00000222960,0,0,0,0,0,0
ENSG00000207627,0,0,0,0,0,0
ENSG00000241230,0,0,0,0,0,0
ENSG00000265421,0,2,0,0,0,0
ENSG00000279638,0,0,0,0,0,0
ENSG00000249069,0,0,0,0,2,0
ENSG00000251597,0,0,0,0,0,0
ENSG00000169271,0,0,0,0,0,0
ENSG00000178996,815,506,562,819,946,943
ENSG00000280159,0,0,0,0,0,0
ENSG00000232517,3,0,0,2,0,0
ENSG00000226810,0,0,0,0,0,0
ENSG00000249843,0,0,0,0,0,0
ENSG00000249016,0,0,0,0,0,0
ENSG00000164283,0,0,0,2,1,0
ENSG00000240535,0,0,0,0,0,0
ENSG00000113088,0,0,0,0,0,0
ENSG00000207229,0,0,0,0,0,0
ENSG00000251376,0,0,0,0,0,0
ENSG00000248029,0,0,0,0,0,0
ENSG00000249454,0,0,0,0,0,0
ENSG00000145649,0,0,0,0,0,0
ENSG00000164287,2,5,1,1,1,1
ENSG00000164294,1783,1454,1137,1527,1522,1323
ENSG00000198983,0,0,0,0,0,0
ENSG00000207728,0,0,0,0,0,0
ENSG00000251856,0,0,0,0,0,0
ENSG00000234602,1,0,3,1,1,2
ENSG00000152669,5,1,8,4,4,5
ENSG00000251307,0,0,3,3,0,0
ENSG00000067248,1535,955,1227,1102,1141,1667
ENSG00000039123,4314,2254,2776,2813,2622,2867
ENSG00000271410,0,0,0,0,0,0
ENSG00000067113,2518,1580,757,1453,1437,1002
ENSG00000279883,4,2,2,2,2,1
ENSG00000265135,0,0,0,0,0,0
ENSG00000250853,0,1,1,2,0,1
ENSG00000249410,0,0,0,0,0,0
ENSG00000177058,835,578,611,654,744,762
ENSG00000152670,0,1,2,3,0,0
ENSG00000251368,0,0,0,0,0,0
ENSG00000248854,1,0,0,1,0,0
ENSG00000164509,1,0,0,0,1,0
ENSG00000279768,0,0,0,0,0,0
ENSG00000134352,214,122,203,209,155,173
ENSG00000262211,0,0,0,0,0,0
ENSG00000264281,8,4,4,8,9,3
ENSG00000227908,9,3,11,3,7,1
ENSG00000238326,0,0,0,0,0,0
ENSG00000249236,0,0,0,0,0,0
ENSG00000164512,0,1,0,0,0,0
ENSG00000253032,0,0,0,0,0,0
ENSG00000243592,5,3,3,2,3,2
ENSG00000251435,0,0,0,0,0,0
ENSG00000248781,0,0,0,0,0,0
ENSG00000210678,0,0,0,0,0,0
ENSG00000249697,0,0,0,0,0,0
ENSG00000250787,0,0,0,0,0,0
ENSG00000248727,0,0,0,2,0,0
ENSG00000226221,44,77,20,29,53,28
ENSG00000225940,0,0,0,0,0,0
ENSG00000234553,0,0,0,0,0,0
ENSG00000228650,0,3,0,0,0,0
ENSG00000095015,354,189,341,271,296,364
ENSG00000237705,0,0,4,2,2,2
ENSG00000225230,4,0,1,3,0,0
ENSG00000155542,173,132,105,145,156,127
ENSG00000155545,1027,483,726,621,651,596
ENSG00000271828,3,0,2,4,1,3
ENSG00000235635,2,0,0,0,0,1
ENSG00000233943,0,0,0,0,0,0
ENSG00000248652,0,0,0,0,0,0
ENSG00000250480,0,0,0,0,0,0
ENSG00000207293,0,0,0,0,0,0
ENSG00000062194,3086,2167,2311,2626,2552,2316
ENSG00000248586,0,0,0,0,0,0
ENSG00000250961,0,0,0,0,0,0
ENSG00000250308,0,0,0,0,0,0
ENSG00000169067,0,0,0,0,0,0
ENSG00000248294,0,0,0,0,0,0
ENSG00000249436,0,0,0,0,0,0
ENSG00000249198,0,0,0,0,0,0
ENSG00000249584,0,0,0,0,0,0
ENSG00000248132,0,0,0,0,0,0
ENSG00000248271,0,0,0,0,0,0
ENSG00000145632,201,170,428,544,600,607
ENSG00000175857,0,0,0,0,0,0
ENSG00000271257,0,0,0,0,0,0
ENSG00000265699,0,0,0,0,0,0
ENSG00000250127,0,0,0,0,0,0
ENSG00000152932,414,316,207,275,223,186
ENSG00000248475,2,2,1,9,3,0
ENSG00000240412,0,0,0,0,0,0
ENSG00000248733,0,0,0,0,0,0
ENSG00000113448,23,21,38,79,67,76
ENSG00000247345,0,0,0,1,1,0
ENSG00000276214,0,0,0,0,0,0
ENSG00000251306,0,0,0,0,0,0
ENSG00000202601,0,0,0,0,0,0
ENSG00000248935,0,0,0,0,0,0
ENSG00000202017,0,0,0,0,0,0
ENSG00000213896,0,0,3,0,0,0
ENSG00000280447,0,2,0,0,0,0
ENSG00000214244,1,0,1,0,0,0
ENSG00000273701,0,0,0,0,0,0
ENSG00000152931,1,1,0,2,1,0
ENSG00000275634,0,0,0,0,0,0
ENSG00000276233,0,0,0,0,0,0
ENSG00000035499,1934,1135,1099,1337,1347,1398
ENSG00000251303,5,1,1,2,0,1
ENSG00000250148,0,0,0,0,0,0
ENSG00000164181,243,186,229,249,233,200
ENSG00000272308,5,7,5,15,7,5
ENSG00000049167,426,274,269,328,329,264
ENSG00000215032,15,11,4,17,12,12
ENSG00000233847,0,0,1,2,0,0
ENSG00000164182,639,747,538,572,766,528
ENSG00000279985,0,0,0,2,0,0
ENSG00000276945,0,1,0,0,0,1
ENSG00000188725,1281,859,906,946,1138,1038
ENSG00000251279,3,1,1,2,0,1
ENSG00000249279,0,0,0,0,0,0
ENSG00000130449,516,285,500,689,603,539
ENSG00000251682,0,0,0,1,1,0
ENSG00000250461,6,10,0,9,9,3
ENSG00000213891,0,0,1,1,3,2
ENSG00000178722,2,0,0,0,0,0
ENSG00000248529,0,0,0,0,0,0
ENSG00000212215,0,0,0,0,0,0
ENSG00000251575,0,0,0,0,0,0
ENSG00000249878,0,0,0,0,0,0
ENSG00000248199,0,0,0,0,0,0
ENSG00000251983,0,0,0,0,0,0
ENSG00000068796,1950,776,1357,1287,1151,1449
ENSG00000086189,1336,1166,1158,1305,1478,1370
ENSG00000086200,1903,867,1322,1464,1467,1496
ENSG00000199279,0,0,0,0,0,0
ENSG00000268942,2,14,5,8,11,0
ENSG00000241991,0,0,0,0,0,0
ENSG00000240436,0,0,0,2,0,0
ENSG00000186105,0,1,0,0,0,1
ENSG00000217416,4,2,1,4,1,3
ENSG00000249579,0,0,0,0,0,0
ENSG00000248185,0,0,0,0,0,0
ENSG00000248285,1,12,2,2,1,3
ENSG00000178394,64,19,21,15,8,15
ENSG00000164197,41,21,22,41,33,27
ENSG00000236068,0,0,0,0,0,0
ENSG00000186479,39,20,29,27,17,31
ENSG00000242547,0,0,0,0,0,0
ENSG00000201869,0,0,0,0,0,0
ENSG00000224296,0,0,0,0,0,0
ENSG00000145642,80,106,91,85,150,112
ENSG00000153006,947,1001,916,841,1060,863
ENSG00000153015,1646,1298,1172,1132,1495,1302
ENSG00000272370,10,19,15,11,28,15
ENSG00000272354,3,1,1,1,4,1
ENSG00000207439,0,0,0,0,0,0
ENSG00000049192,50,36,24,67,31,25
ENSG00000248288,0,0,0,0,0,0
ENSG00000250732,0,0,0,0,0,0
ENSG00000205644,0,0,0,0,0,0
ENSG00000250081,2,1,4,5,2,1
ENSG00000123219,1086,780,804,766,750,654
ENSG00000113593,1095,591,723,749,807,852
ENSG00000113595,421,185,255,254,184,275
ENSG00000207352,0,0,0,0,0,0
ENSG00000113597,332,219,395,253,221,248
ENSG00000253251,57,32,47,31,34,37
ENSG00000197860,416,250,407,365,386,356
ENSG00000123213,5995,3457,4197,5140,5243,5213
ENSG00000251648,0,0,1,3,0,0
ENSG00000269961,2,2,1,5,4,0
ENSG00000112851,928,488,710,721,601,663
ENSG00000252904,0,0,0,0,0,0
ENSG00000153914,983,668,838,855,771,790
ENSG00000253744,1,0,0,0,0,0
ENSG00000248846,0,0,0,0,0,0
ENSG00000251391,0,0,0,0,0,0
ENSG00000250313,0,0,0,0,0,0
ENSG00000234838,5,2,6,3,5,1
ENSG00000069020,75,84,118,130,114,115
ENSG00000248803,0,0,0,0,0,0
ENSG00000249057,0,0,0,0,0,0
ENSG00000229666,6,4,0,9,18,6
ENSG00000134061,0,0,0,0,0,1
ENSG00000251206,0,0,0,0,0,0
ENSG00000249364,1,0,3,0,0,2
ENSG00000250978,0,0,0,0,0,0
ENSG00000239870,0,0,0,0,0,0
ENSG00000249736,4,1,2,3,3,2
ENSG00000249238,0,0,0,1,0,1
ENSG00000250669,6,3,7,9,6,0
ENSG00000249721,2,2,6,8,5,3
ENSG00000250421,11,5,7,10,8,1
ENSG00000249894,5,5,3,7,2,2
ENSG00000273860,0,0,0,0,0,0
ENSG00000253801,0,0,0,0,0,0
ENSG00000252108,0,0,0,0,0,0
ENSG00000213864,0,3,3,1,4,3
ENSG00000253787,0,0,0,0,0,0
ENSG00000145675,135,160,146,165,125,101
ENSG00000251044,0,0,0,0,0,0
ENSG00000248884,0,0,0,0,0,0
ENSG00000249588,0,0,0,0,0,0
ENSG00000248359,0,0,0,0,0,0
ENSG00000249335,0,0,2,0,0,0
ENSG00000250289,0,0,0,0,0,0
ENSG00000212249,0,0,0,0,0,0
ENSG00000250066,0,0,0,0,0,0
ENSG00000276309,0,0,0,0,0,0
ENSG00000249352,1,0,0,0,1,0
ENSG00000250237,0,0,0,0,0,0
ENSG00000249183,0,0,0,0,0,0
ENSG00000145740,1134,860,998,1161,1113,1076
ENSG00000248664,2,1,2,0,0,3
ENSG00000220986,0,0,0,0,0,0
ENSG00000280894,0,0,0,0,0,0
ENSG00000134057,5898,3872,4476,4784,4912,5165
ENSG00000280187,30,17,14,31,19,25
ENSG00000153044,3219,2404,1671,2232,2596,1692
ENSG00000134056,553,550,405,418,561,441
ENSG00000134058,1500,1051,1118,1113,1371,1353
ENSG00000183323,73,50,7,25,17,11
ENSG00000213830,1,0,0,0,0,0
ENSG00000215006,1,1,0,3,0,0
ENSG00000271045,0,0,0,0,0,0
ENSG00000085231,528,557,457,476,646,595
ENSG00000273841,1816,1238,1285,1277,1403,1213
ENSG00000152942,1283,806,764,935,975,771
ENSG00000152939,637,488,660,387,433,294
ENSG00000244717,0,0,0,0,0,0
ENSG00000249295,0,0,0,0,0,0
ENSG00000266477,0,0,0,0,0,0
ENSG00000197822,1120,534,632,807,611,790
ENSG00000212260,0,0,0,0,0,0
ENSG00000183474,402,243,253,278,281,271
ENSG00000248477,1,3,3,1,0,1
ENSG00000250138,0,0,1,4,2,3
ENSG00000253203,0,0,1,0,0,0
ENSG00000248769,0,0,0,0,0,0
ENSG00000198237,5,1,1,3,1,0
ENSG00000251158,0,0,0,0,0,0
ENSG00000249230,0,0,0,0,0,0
ENSG00000205572,22,13,11,13,7,11
ENSG00000205571,66,32,41,29,42,42
ENSG00000179978,11,5,10,21,4,5
ENSG00000253492,0,0,0,0,0,0
ENSG00000254701,9,0,2,6,3,5
ENSG00000253816,13,8,16,12,16,6
ENSG00000226259,40,28,58,41,32,29
ENSG00000269983,0,0,2,1,0,0
ENSG00000250687,0,0,0,0,0,0
ENSG00000253333,0,0,0,0,0,1
ENSG00000196302,0,0,0,2,0,1
ENSG00000253366,0,1,0,0,0,0
ENSG00000254335,0,0,0,0,0,0
ENSG00000172058,0,1,0,0,1,0
ENSG00000172062,463,344,308,299,314,284
ENSG00000249437,2,4,3,9,9,3
ENSG00000145736,164,141,131,163,179,168
ENSG00000230847,0,0,0,0,0,0
ENSG00000251634,1,2,1,4,0,0
ENSG00000253900,0,0,0,0,0,0
ENSG00000215630,12,4,6,16,1,8
ENSG00000235558,4,0,2,5,1,1
ENSG00000250387,0,0,0,0,0,0
ENSG00000253985,0,0,0,0,0,0
ENSG00000169040,0,0,0,0,0,0
ENSG00000249981,0,0,0,0,0,0
ENSG00000145734,932,479,838,794,654,762
ENSG00000253536,0,0,0,0,0,0
ENSG00000247911,0,0,0,0,0,0
ENSG00000131844,2676,1848,2132,2435,2376,2273
ENSG00000164326,0,0,0,0,0,0
ENSG00000278824,0,0,0,0,0,0
ENSG00000131711,3848,3483,2865,4309,5286,4665
ENSG00000264099,0,0,0,0,0,0
ENSG00000113048,3219,2269,2259,2393,2592,2093
ENSG00000244748,0,0,2,0,0,0
ENSG00000049883,479,295,363,401,356,312
ENSG00000244061,0,0,0,0,0,0
ENSG00000251108,0,0,0,0,0,0
ENSG00000261269,0,0,0,2,0,0
ENSG00000178175,0,0,0,0,0,0
ENSG00000248371,0,0,0,0,0,0
ENSG00000251613,0,0,0,0,0,1
ENSG00000226544,2,0,1,1,1,1
ENSG00000223497,0,0,0,0,0,0
ENSG00000206770,0,0,0,0,0,0
ENSG00000249085,0,0,0,0,0,0
ENSG00000083312,7672,3508,5266,5383,5243,5992
ENSG00000263593,0,0,0,0,0,0
ENSG00000242602,0,0,0,0,0,0
ENSG00000271926,3,0,0,0,0,0
ENSG00000272081,3,0,0,7,5,4
ENSG00000157107,254,171,377,302,304,394
ENSG00000251467,0,0,0,2,0,0
ENSG00000248930,0,0,0,2,0,0
ENSG00000157111,16,23,22,43,64,51
ENSG00000251599,0,0,0,0,0,1
ENSG00000250747,0,0,0,0,0,0
ENSG00000164325,0,0,0,0,0,0
ENSG00000249743,0,0,0,0,0,0
ENSG00000251543,0,0,0,0,0,0
ENSG00000249149,0,0,0,0,0,0
ENSG00000251493,82,59,36,26,31,39
ENSG00000247993,0,0,0,0,0,0
ENSG00000251604,1,1,1,5,5,1
ENSG00000251324,0,0,0,0,0,0
ENSG00000272525,11,12,25,15,21,15
ENSG00000145741,15781,13545,10375,12025,15192,11718
ENSG00000255883,1,3,1,0,2,4
ENSG00000164331,166,192,230,207,214,126
ENSG00000164338,921,569,627,724,692,822
ENSG00000214944,40,25,21,31,25,16
ENSG00000249293,0,0,0,0,0,0
ENSG00000184084,0,1,0,0,0,2
ENSG00000238913,0,0,0,0,0,0
ENSG00000259968,0,0,0,0,0,0
ENSG00000248474,0,0,0,0,0,0
ENSG00000248942,0,0,0,0,0,0
ENSG00000244326,0,0,0,0,0,0
ENSG00000251041,0,0,0,0,0,0
ENSG00000249343,0,0,0,0,0,0
ENSG00000250446,0,0,0,0,0,0
ENSG00000248673,1,0,0,0,0,0
ENSG00000171617,369,115,342,889,282,392
